stage_name,level,difficulty,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation
"مرحله 1",1,1,"کدام یک از موارد زیر در پیشگیری از دیابت مؤثر است؟","الف) مصرف زیاد قند","ب) کم تحرکی","ج) ورزش منظم","د) مصرف فست فود","C","ورزش منظم یکی از مهم‌ترین عوامل پیشگیری از دیابت است"
"مرحله 1",1,1,"کدام گروه غذایی بیشترین تأثیر را بر قند خون دارد؟","الف) پروتئین‌ها","ب) کربوهیدرات‌ها","ج) چربی‌ها","د) ویتامین‌ها","B","کربوهیدرات‌ها بیشترین تأثیر را بر افزایش قند خون دارند"
"مرحله 1",1,1,"کدام یک از علائم زیر نشانه دیابت است؟","الف) تشنگی زیاد","ب) کاهش اشتها","ج) خواب زیاد","د) افزایش وزن","A","تشنگی زیاد یکی از علائم اصلی دیابت محسوب می‌شود"
"مرحله 1",1,1,"بهترین نوع نان برای افراد دیابتی کدام است؟","الف) نان سفید","ب) نان کامل","ج) نان شیرین","د) نان تست","B","نان کامل حاوی فیبر بیشتر و برای دیابتی‌ها مناسب‌تر است"
"مرحله 1",1,1,"کدام میان وعده برای دیابتی‌ها مناسب است؟","الف) شیرینی","ب) چیپس","ج) آجیل","د) شکلات","C","آجیل حاوی چربی‌های مفید و پروتئین است و برای دیابتی‌ها مناسب است"
"مرحله 1",1,1,"دیابت نوع 2 بیشتر در کدام گروه سنی دیده می‌شود؟","الف) کودکان","ب) نوجوانان","ج) بزرگسالان","د) همه سنین","C","دیابت نوع 2 بیشتر در بزرگسالان و سالمندان شایع است"
"مرحله 1",1,1,"کدام عامل خطر دیابت قابل تغییر است؟","الف) سن","ب) جنسیت","ج) وزن","د) ژن‌ها","C","وزن یکی از عوامل خطر قابل تغییر برای دیابت محسوب می‌شود"
"مرحله 2",2,1,"کدام روش اندازه‌گیری قند خون دقیق‌تر است؟","الف) آزمایش ادرار","ب) آزمایش خون","ج) معاینه چشم","د) اندازه‌گیری فشار خون","B","آزمایش خون دقیق‌ترین روش اندازه‌گیری قند خون است"
"مرحله 2",2,1,"چه مقدار ورزش در هفته برای دیابتی‌ها توصیه می‌شود؟","الف) روزی 10 دقیقه","ب) هفته‌ای 150 دقیقه","ج) ماهی یک بار","د) سالی چند بار","B","150 دقیقه ورزش متوسط در هفته برای دیابتی‌ها توصیه می‌شود"
"مرحله 2",2,1,"کدام نوشیدنی برای دیابتی‌ها مناسب نیست؟","الف) آب","ب) چای بدون قند","ج) نوشابه","د) قهوه بدون قند","C","نوشابه حاوی قند زیاد است و برای دیابتی‌ها مضر است"
"مرحله 2",2,1,"هموگلوبین A1C چه چیزی را نشان می‌دهد؟","الف) قند خون لحظه‌ای","ب) میانگین قند خون 2-3 ماه گذشته","ج) فشار خون","د) چربی خون","B","HbA1c میانگین قند خون 2-3 ماه گذشته را نشان می‌دهد"
"مرحله 2",2,1,"کدام میوه برای دیابتی‌ها مناسب‌تر است؟","الف) انگور","ب) خرما","ج) سیب","د) انجیر","C","سیب حاوی فیبر بیشتر و قند کمتری نسبت به سایر میوه‌ها دارد"
"مرحله 2",2,1,"در صورت افت قند خون، فوری‌ترین اقدام چیست؟","الف) خوردن قند","ب) تزریق انسولین","ج) خوابیدن","د) ورزش کردن","A","در افت قند خون باید فوراً قند یا مواد قندی مصرف کرد"
"مرحله 3",3,1,"کدام یک از موارد زیر در کنترل قند خون مؤثر است؟","الف) مصرف دارو","ب) رژیم غذایی","ج) ورزش","د) همه موارد","D","همه این موارد در کنترل قند خون مؤثر هستند"
"مرحله 3",3,1,"کدام یک از موارد زیر علامت هشدار دهنده دیابت است؟","الف) تشنگی زیاد","ب) ادرار زیاد","ج) خستگی","د) همه موارد","D","همه این علائم می‌توانند نشانه دیابت باشند"
"مرحله 3",3,1,"کدام یک از موارد زیر در پیشگیری از عوارض دیابت مؤثر است؟","الف) کنترل قند خون","ب) کنترل فشار خون","ج) کنترل چربی خون","د) همه موارد","D","همه این موارد در پیشگیری از عوارض دیابت مؤثر هستند"
"مرحله 3",3,1,"کدام یک از موارد زیر در درمان دیابت نوع 2 استفاده می‌شود؟","الف) انسولین","ب) قرص‌های ضد دیابت","ج) رژیم غذایی و ورزش","د) همه موارد","D","همه این روش‌ها در درمان دیابت نوع 2 استفاده می‌شوند"
"مرحله 3",3,1,"کدام یک از موارد زیر عارضه دیابت محسوب می‌شود؟","الف) بیماری قلبی","ب) آسیب کلیه","ج) آسیب چشم","د) همه موارد","D","همه این موارد عوارض دیابت محسوب می‌شوند"
"مرحله 3",3,1,"کدام یک از موارد زیر در مراقبت از پا در دیابتی‌ها مهم است؟","الف) بررسی روزانه پا","ب) استفاده از کفش مناسب","ج) مراجعه به پزشک در صورت زخم","د) همه موارد","D","همه این موارد در مراقبت از پا در دیابتی‌ها مهم هستند"
"مرحله 3",3,1,"کدام یک از موارد زیر در آموزش خودمراقبتی دیابت مهم است؟","الف) اندازه‌گیری قند خون","ب) تشخیص علائم کم قندی","ج) مدیریت استرس","د) همه موارد","D","همه این موارد در آموزش خودمراقبتی دیابت مهم هستند"
"مرحله 7",7,3,"به نظر شما چه عاملی در ایجاد دیابت نوع 2 نقش دارد؟","الف) چاقی","ب) کم تحرکی","ج) سابقه خانوادگی","د) همه موارد","D","همه این عوامل در ایجاد دیابت نوع 2 نقش دارند"
"مرحله 7",7,3,"کدام یک از موارد زیر در کنترل وزن و پیشگیری از دیابت مؤثر است؟","الف) رژیم غذایی سالم","ب) ورزش منظم","ج) کاهش استرس","د) همه موارد","D","همه این موارد در کنترل وزن و پیشگیری از دیابت مؤثر هستند"
"مرحله 7",7,3,"کدام یک از موارد زیر در کنترل قند خون مؤثر است؟","الف) مصرف دارو","ب) رژیم غذایی","ج) ورزش","د) همه موارد","D","همه این موارد در کنترل قند خون مؤثر هستند"
"مرحله 7",7,3,"کدام یک از موارد زیر علامت هشدار دهنده دیابت است؟","الف) تشنگی زیاد","ب) ادرار زیاد","ج) خستگی","د) همه موارد","D","همه این علائم می‌توانند نشانه دیابت باشند"
"مرحله 7",7,3,"کدام یک از موارد زیر در پیشگیری از عوارض دیابت مؤثر است؟","الف) کنترل قند خون","ب) کنترل فشار خون","ج) کنترل چربی خون","د) همه موارد","D","همه این موارد در پیشگیری از عوارض دیابت مؤثر هستند"
"مرحله 7",7,3,"کدام یک از موارد زیر در درمان دیابت نوع 2 استفاده می‌شود؟","الف) انسولین","ب) قرص‌های ضد دیابت","ج) رژیم غذایی و ورزش","د) همه موارد","D","همه این روش‌ها در درمان دیابت نوع 2 استفاده می‌شوند"
"مرحله 7",7,3,"کدام یک از موارد زیر عارضه دیابت محسوب می‌شود؟","الف) بیماری قلبی","ب) آسیب کلیه","ج) آسیب چشم","د) همه موارد","D","همه این موارد عوارض دیابت محسوب می‌شوند"
"مرحله 8",8,3,"کدام یک از موارد زیر در مراقبت از پا در دیابتی‌ها مهم است؟","الف) بررسی روزانه پا","ب) استفاده از کفش مناسب","ج) مراجعه به پزشک در صورت زخم","د) همه موارد","D","همه این موارد در مراقبت از پا در دیابتی‌ها مهم هستند"
"مرحله 8",8,3,"کدام یک از موارد زیر در آموزش خودمراقبتی دیابت مهم است؟","الف) اندازه‌گیری قند خون","ب) تشخیص علائم کم قندی","ج) مدیریت استرس","د) همه موارد","D","همه این موارد در آموزش خودمراقبتی دیابت مهم هستند"
"مرحله 8",8,3,"کدام یک از موارد زیر در تغذیه دیابتی‌ها اهمیت دارد؟","الف) کنترل مقدار کربوهیدرات","ب) انتخاب کربوهیدرات پیچیده","ج) مصرف فیبر","د) همه موارد","D","همه این موارد در تغذیه دیابتی‌ها اهمیت دارند"
"مرحله 8",8,3,"کدام یک از موارد زیر در ورزش دیابتی‌ها مهم است؟","الف) شروع تدریجی","ب) کنترل قند خون قبل و بعد ورزش","ج) انتخاب ورزش مناسب","د) همه موارد","D","همه این موارد در ورزش دیابتی‌ها مهم هستند"
"مرحله 8",8,3,"کدام یک از موارد زیر در مدیریت استرس دیابتی‌ها مؤثر است؟","الف) تکنیک‌های آرام‌سازی","ب) ورزش منظم","ج) حمایت اجتماعی","د) همه موارد","D","همه این موارد در مدیریت استرس دیابتی‌ها مؤثر هستند"
"مرحله 8",8,3,"کدام یک از موارد زیر در پیگیری دیابت مهم است؟","الف) آزمایش‌های منظم","ب) ویزیت پزشک","ج) کنترل عوارض","د) همه موارد","D","همه این موارد در پیگیری دیابت مهم هستند"
"مرحله 8",8,3,"کدام یک از موارد زیر در آموزش خانواده دیابتی مهم است؟","الف) شناخت علائم کم قندی","ب) آشنایی با رژیم غذایی","ج) حمایت روحی","د) همه موارد","D","همه این موارد در آموزش خانواده دیابتی مهم هستند"
"مرحله 9",9,3,"کدام یک از موارد زیر در پیشگیری از دیابت در کودکان مؤثر است؟","الف) تغذیه سالم","ب) فعالیت بدنی","ج) کنترل وزن","د) همه موارد","D","همه این موارد در پیشگیری از دیابت در کودکان مؤثر هستند"
